Comment,Happy,Thankful,Hopeful ,Sad,Angry,Scared,Thanks/Praise God,Punishment from God,Angry at God,Let's Pray/Amen,Against Religion,Giving Info,Asking for Info,Thanks PAGASA,BOO Pagasa,Family/Relatives,Filipinos,Safety,Approving Science,Against Science,WOO Gov Efforts,BOO Gov Efforts,Name,Date (Dec 2014),Likes,Tagging,Against Other's Comments
"Joy Toledo Lim what time po sya dadaan dito sa batangas city?Like · Reply · 1 · December 8, 2014 at 12:51am",,,,,,,,,,,,,1,,,,,,,,,,," December 8, 2014 at 12:51am",1,,
"Chan Presillas 6:00 ng gabiLike · 1 · December 8, 2014 at 1:11pm",,,,,,,,,,,,1,,,,,,,,,,,,"December 8, 2014 at 1:11pm",1,,
"Chan Presillas poLike · 1 · December 8, 2014 at 1:11pm",,,,,,,,,,,,,,,,,,,,,,,,"December 8, 2014 at 1:11pm",1,,
"Aclc Titans napakaganda pa ng sikat ng buwan dito sa OlongapoLike · Reply · 1 · December 7, 2014 at 11:59pm",,,,,,,,,,,,1,,,,,,,,,,,," December 7, 2014 at 11:59pm",1,,
"Miles Lizardo go away,typhoon monster,go away maawa ka nman sa pilipinas .Like · Reply · December 8, 2014 at 9:32am",,,,1,,,,,,,,,,,,,,,,,,,,"December 8, 2014 at 9:32am",,,
"Jobelle Eliza Villanueva Jud Esguerra ayan tatama na ng metro manilaLike · Reply · December 8, 2014 at 8:02am",,,,,,,,,,,,1,,,,,,,,,,,," December 8, 2014 at 8:02am",,,
"Jurie Eugenio prayLike · Reply · December 8, 2014 at 8:02am",,,,,,,,,,1,,,,,,,,,,,,,,"December 8, 2014 at 8:02am",,,
"Veronica Floralde Kamusta kaya s parte sorsogon bikol,..Like · Reply · 
December 8, 2014 at 7:55am",,,,,,,,,,,,,,,,1,,1,,,,,,"December 8, 2014 at 7:55am",,,
"Darkprince Rain wahhhhhh kahpon 2 lng laguna bat now 3 naLike · Reply · December 8, 2014 at 7:54am",,,,,,1,,,,,,,,,,,,,,,,,," December 8, 2014 at 7:54am",,,
"Jonathan Gurrea Ruby go away...Like · Reply · December 8, 2014 at 6:04am",,,,,,1,,,,,,,,,,,,,,,,,,"December 8, 2014 at 6:04am",,,
"Myke Christian Guillermo Sana hindi na mahagep ung manila PRAY lang po tauLike · Reply · December 8, 2014 at 5:39am",,,,,,,,,,1,,,,,,,,,,,,,,"December 8, 2014 at 5:39am",,,
"Jossie Hael Del Mundo gd am po.wat tym po b daan d2 s north of occidental mindoro?tnx poLike · Reply · December 8, 2014 at 4:47am",,,,,,,,,,,,,1,,,,,,,,,,," December 8, 2014 at 4:47am",,,
"ThOk'z PLaza malakas prin ulan at hangin d2 cam. surLike · Reply · 
December 8, 2014 at 2:40am",,,,,,,,,,,,1,,,,,,,,,,,,"December 8, 2014 at 2:40am",,,
"Cheryl Cabataña bkt lumakas ulit ang hangin dto masbate?atska my ulanLike · Reply · December 8, 2014 at 2:37am",,,,,,,,,,,,,1,,,,,,,,,,,"December 8, 2014 at 2:37am",,,
"Luis Angelo Gonzales Badtrip yan bagyong yan kesa glenda mabilis lng nakaalisLike · Reply · December 8, 2014 at 2:17am",,,,,1,,,,,,,,,,,,,,,,,,,"December 8, 2014 at 2:17am",,,
"Johnren Angeles nakalagpas na po ba sya ng cam sur?Like · Reply ·
 December 8, 2014 at 2:07am",,,,,,,,,,,,,1,,,,,,,,,,,"December 8, 2014 at 2:07am",,,
"Rene Jhoy Refugio malakas po subra ang hangin at ulan d2 sa TIWI ALBAY,,simula pa ito kaninang 10PMLike · Reply · December 8, 2014 at 1:27am",,,,,,,,,,,,,1,,,,,,,,,,,"December 8, 2014 at 1:27am",,,
"Thadz Bueno bakit po ang lakas pa rin ng hangin particularly herein albay?Like · Reply · December 8, 2014 at 1:25am",,,,,,,,,,,,,1,,,,,,,,,,,"December 8, 2014 at 1:25am",,,
"Angelo De Juan puyat ako sa kakabantay kay ruby hay thanks God humina na sa boracayLike · Reply · December 8, 2014 at 1:21am",,,,,,,1,,,,,,,,,,,,,,,,,"December 8, 2014 at 1:21am",,,
"Angelo De Juan puyat ako sa kakabanatay kay ruby hay thanks God humina na sa boracayLike · Reply · December 8, 2014 at 1:20am",,,,,,,1,,,,,,,,,,,,,,,,,"December 8, 2014 at 1:20am",,,
"Yumigee Ann Reyes ang lakaz ngaun za albay sgnal2 pero ang bagal tlaga ruby matagal oraz kapag 5hr. ,kanina kanina. .Like · Reply · December 8, 2014 at 1:17am",,,,,,,,,,,,1,,,,,,,,,,,,"December 8, 2014 at 1:17am",,,
"Evol Ruoy Ymene ano kaya sanhi ng pagbagal ng bagy0ng yan dahil ba sa Amihan? Bakit di pa rin humihina gay0ng malamig naman sa n0rth at central luzon.Like · Reply · December 8, 2014 at 12:20am",,,,,,,,,,,,,1,,,,,,,,,,,"December 8, 2014 at 12:20am",,,
"Arlene Rabano dadaanan po b tlga kamiLike · Reply · December 8, 2014 at 12:16am",,,,,,,,,,,,,1,,,,,,,,,,,"December 8, 2014 at 12:16am",,,
"Arlene Rabano nag uutay n pumatak ang ulan d2 Candelaria Quezon pero mahina paLike · Reply · December 8, 2014 at 12:15am",,,,,,,,,,,,1,,,,,,,,,,,,"December 8, 2014 at 12:15am",,,
"Med Pulmano JobelleLike · Reply · December 8, 2014 at 12:02am",,,,,,,,,,,,,,,,1,,,,,,,,"December 8, 2014 at 12:02am",,,
"D Tartana Mabaquiao ahay nasa #Masbate pa rin pala d pa rin nakakaalis kaya still signal # 2 pa rin kmi sa #CapizLike · Reply · December 8, 2014 at 12:00am · Edited",,,,,,,,,,,,1,,,,,,,,,,,,"December 8, 2014 at 12:00am",,,
"Marcelo Betamor Cruzat Kalmado pa d2 s naujan oriental mindoro s oras n ito.Like · Reply · December 7, 2014 at 11:48pm",,,,,,,,,,,,1,,,,,,,,,,,,"December 7, 2014 at 11:48pm",,,
"Brian Javier Hangang bukas pa pala ang cam norte province...Like · Reply · December 7, 2014 at 11:43pm",,,,,,,,,,,,1,,,,,,,,,,,,"December 7, 2014 at 11:43pm",,,
"Michael Garciano Toledo Dto my buwan pa sa kawit cavite pero signal no. 2 na ata kme? Nkakatkot. Sno dto tga cavite??Like · Reply · 1 · December 8, 2014 at 12:11am",,,,,,,,,,,,,1,,,,,,,,,,,"December 8, 2014 at 12:11am",,,
"Kiel Ezekiel Number 3 na po ang Cavite . See their bulletin updateLike · December 8, 2014 at 12:22am",,,,,,,,,,,,1,,,,,,,,,,,,"December 8, 2014 at 12:22am",,,
"Michael Garciano Toledo Tga san po kayo? Kawit cavite po kme ee. Sn po kyosa cavite?Like · December 8, 2014 at 12:33am",,,,,,,,,,,,,1,,,,,,,,,,,"December 8, 2014 at 12:33am",,,
"Maricris Dequito Adolfo Number na nga tayo eLike · December 8, 2014 at 1:52am",,,,,,,,,,,,1,,,,,,,,,,,," December 8, 2014 at 1:52am",,,
"Cariz Ganzon DG Taga cavite ako. Nabasa q sa post. Signal no. 3 in Cavite within 18hrs start from their update last 11:32pm. Let us all pray na wla mapinsala. God is Good.Like · December 8, 2014 at 3:56am",,,,,,,1,,,,,1,,,,,,,,,,,," December 8, 2014 at 3:56am",,,
"Laurence Sacramento Lamba Nawala na yung moon at medyo nagdark na yung sky here sa cavite..Like · Reply · 1 · December 7, 2014 at 11:47pm",,,,,,,,,,,,1,,,,,,,,,,,,"December 7, 2014 at 11:47pm",,,
"Maricris Dequito Adolfo Unti unti na syaLike · December 8, 2014 at 1:53am",,,,,,,,,,,,1,,,,,,,,,,,,"December 8, 2014 at 1:53am",,,
"Laurence Sacramento Lamba Ou nga eh nakakatakot na siyaLike · December 8, 2014 at 2:44am",,,,,,1,,,,,,,,,,,,,,,,,,"December 8, 2014 at 2:44am",,,
"Zoe Cales Gentallan Wala na sa bohol toy?Like · Reply · 1 · December 7, 2014 at 11:45pm",,,,,,,,,,,,,1,,,,,,,,,,,"December 7, 2014 at 11:45pm",,,
"Vince Palas Alvs Altea Yancy Arellano Nathaniel Latorre Ian AsisLike · Reply · December 8, 2014 at 12:10am",,,,,,,,,,,,,,,,1,,,,,,,," December 8, 2014 at 12:10am",,,
