Comment,Happy,Thankful,Hopeful ,Sad,Angry,Scared,Thanks/Praise God,Punishment from God,Angry at God,Let's Pray/Amen,Against Religion,Giving Info,Asking for Info,Thanks PAGASA,BOO Pagasa,Family/Relatives,Filipinos,Safety,Approving Science,Against Science,WOO Gov Efforts,BOO Gov Efforts,Name,Date (Dec 2014),Likes,Tagging,Against Other's Comments
"Miriam Ebora Gatdula Prayer changes everything..17·December 4, 2014 at 8:45am",,,1,,,,,,,1,,,,,,,,,,,,,,"December 4, 2014 at 8:45am",17,,
"Mike Taguiwalo According to the path, it is starting to gradually curveslightly toward north, making its West-Northwesterly movement more ofa DUE Northwesterly one - if it continues to curve more to THAT direction,possibility exists for the storm to eventually make its landfallover Central-Northern Luzon, or - hopefully for the better continue to move over open sea just East of Luzon.15·December 4, 2014 at 7:40am",,,,,,,,,,,,1,,,,,,,,,,,,"·December 4, 2014 at 7:40am",15,,
"Jenmar Cortes You're right, It's definitely moving to the northeast. I hope it'll continue curve.http://noah.dost.gov.ph/December 4, 2014 at 7:43am",,,1,,,,,,,,,,,,,,,,,,,,,"December 4, 2014 at 7:43am",,,
"Mike Taguiwalo NorthWEST you mean?December 4, 2014 at 7:44am",,,,,,,,,,,,1,,,,,,,,,,,,"December 4, 2014 at 7:44am",,,
"Jef Diata Northeast not northwest.1·December 4, 2014 at 7:47am",,,,,,,,,,,,1,,,,,,,,,,,,"December 4, 2014 at 7:47am",1,,
"Rigel Jay Jamisola Gumapac moving northwest tama si sir mikeDecember 4, 2014 at 7:57am",,,,,,,,,,,,1,,,,,,,,,,,,"December 4, 2014 at 7:57am",,,
"Alex Lentini Hope for thatDecember 4, 2014 at 8:19am",,,1,,,,,,,,,,,,,,,,,,,,,"December 4, 2014 at 8:19am",,,
"Robert Ta-asan surely it will not landfall if the curve continues its direction, just hoping that easterly winds wont affect its path. ""GOD IS GREAT"" and ""GOD IS GOOD""...6 · December 4, 2014 at 8:54am",,,,,,,,,,1,,1,,,,,,,,,,,,"December 4, 2014 at 8:54am",6,,
"Kimberly E. Baltazar God is good all the time December 4, 2014 at 9:00am",,,,,,,1,,,1,,,,,,,,,,,,,,"December 4, 2014 at 9:00am",,,
"Caiyas Rex guys, prayers will not save us. wlng bababang santo galing sa langit para iligtas tau... instead be vigilant , informative and educate. ang tamangkaalaman at paghahanda ang mag liligtas satin. be praktikal...15 · December 4, 2014 at 8:33am",,,,,,,,,,,1,,1,,,,,1,1,,,,,"December 4, 2014 at 8:33am",15,,
"Orville S. Cañal Bakit kailangan mo pa sabihin? Na prayer is not? Well hindi ka cgro nag sisimba kaya ganun d kaniniwala sa diyos ,,Hindi ba pwede prayer at maging praktikal? peace keep safe 7 · December 4, 2014 at 10:21am",,,,,,,,,,1,,,,,,,,1,,,,,," December 4, 2014 at 10:21am",7,,
"Nickyvera Gabonada Do not underestimate the power of prayer.. Because it is God our creator the one that we are talking to in prayer.. He can do all things.. And nothing is impossible to Him.. Godbless u all 8 · December 4, 2014 at 10:33am",,,,,,,1,,,1,,,,,,,,,,,,,," December 4, 2014 at 10:33am",8,,
"Tetha Victoria Saints can't help us of course, but God can.3 · December 4, 2014 at 10:35am",,,,,,,1,,,1,,,,,,,,,,,,,,"December 4, 2014 at 10:35am",3,,
"Roehl Lorenzo kung magdebate kayo dito mas hindi kayo nakakatulong, and just respect others, please...dont start nonsense talks...1 · December 4, 2014 at 11:05am",,,,,,,,,,,,,,,,,,,,,,,," December 4, 2014 at 11:05am",1,,
"Maria Johnson You'll never survive if not because of High Almighty.2 · December 4, 2014 at 2:31pm",,,,,,,1,,,,,,,,,,,,,,,,,"December 4, 2014 at 2:31pm",2,,
