Comment,Happy,Thankful,Hopeful ,Sad,Angry,Scared,Thanks/Praise God,Punishment from God,Angry at God,Let's Pray/Amen,Against Religion,Giving Info,Asking for Info,Thanks PAGASA,BOO Pagasa,Family/Relatives,Filipinos,Safety,Approving Science,Against Science,WOO Gov Efforts,BOO Gov Efforts,Name,Date (Dec 2014),Likes,Tagging,Against Other's Comments
"Rom Realize Amazing how God answered our prayer. A Super Typhoon became a Tropical Depression. Indeed, we are witness to a battle in the heavens. A destructive wind from the ESE (TY RUBY HAGUPIT) met by the cold CHRISTmas wind (NORTHEAST MONSOON) that makes the super typhoon a tropical depression. Let's give all the glory to God! And congratulations to all the prayer warriors out there!  ·  · 12 · December 10, 2014 at 2:57am",,,,,,,1,,,,,,,,,,,,,,,,,"December 10, 2014 at 2:57am",12,,
"Asel Perez important to always BLESS OUR COUNTRY, BLESS THE ANIMALS, PLANTS... AND ITS PPL. BLESS THE GOVT dont curse them. remember, ng pagbbago nagsisimula sa atin, ndi sa iba. IF we repent and do what He says, then HE WILL HEAR US. if not, wag n tayo umasa may magbabago sa sitwasyon natin. shalom and GOD BLESS THIS NATION! I CLAIM IT ALL BACK TO GOD. amen  ·  · 1 · December 10, 2014 at 5:19am",,,,,,,1,,,,,,,,,,1,1,,,,,,"December 10, 2014 at 5:19am",1,,
"Noime Lopez Tumlos Elefane Thank u so much God at hndi naramdaman dito s Puerto Princesa c ruby! Prayers are truly Powerful!  ·  · 1 · December 10, 2014 at 1:21am",,,,,,,1,,,,,,,,,,,,,,,,,"December 10, 2014 at 1:21am",1,,
"Fritzie Jean Falcon Rubillos Thank you Lord for our safety.  ·  · 1 · December 9, 2014 at 11:46pm",,,,,,,1,,,,,,,,,,,,,,,,,"December 9, 2014 at 11:46pm",1,,
"Ackoh SI Ajax tnx  ·  · 2 · December 9, 2014 at 10:58pm",,,,,,,,,,,,,,1,,,,,,,,,,"December 9, 2014 at 10:58pm",2,,
"Unic M Aiy tnx u dost.4 making us safe and u spread the situations about the weather Glory to God  ·  · December 11, 2014 at 10:03am",,,,,,,1,,,,,,,1,,,,,,,,,,"December 11, 2014 at 10:03am",,,
"Chali Won goodbye ruby dont invite you family in Pilipinas  ·  · December 10, 2014 at 11:28pm",1,,,,,,,,,,,,,,,,,,,,,,,"December 10, 2014 at 11:28am",,,
"Lene Alice Lasquite thanks GOD.thank you PAGASA.  ·  · December 10, 2014 at 5:22am",,,,,,,1,,,,,,,1,,,,,,,,,,"December 10, 2014 at 5:22am",,,
"Cora Laura Laureta Thank u 4d info  ·  · December 10, 2014 at 3:55am",,,,,,,,,,,,,,1,,,,,,,,,,"December 10, 2014 at 3:55am",,,
"Nyle Ciencia Thank you Mama Mary for hearing our prayers...  ·  · December 10, 2014 at 3:40am",,,,,,,1,,,,,,,,,,,,,,,,,"December 10, 2014 at 3:40am",,,
"James Earl Quintana Laranang smile emoticon Hey Dear Get 4000 s on Photos , Status And Pages Get Best autor site;) Visit -[ Www.X3r. net ] Have A Nice Day heart emoticon  ·  · December 10, 2014 at 12:27am",,,,,,,1,,,,,,,,,,,,,,,,,"December 10, 2014 at 12:27am",,,
"Maricar Endaya Praise God!  ·  · December 9, 2014 at 11:28pm",,,,,,,1,,,,,,,,,,,,,,,,,"December 9, 2014 at 11:28am",,,
"Rom Realize Matthew 7:24-25 “Therefore everyone who hears these words of mine and puts them into practice is  a wise man who built his house on the rock. The rain came down, the streams rose, and the winds blew and beat against that house; yet it did not fall, because it had its foundation on the rock.  ·  · 1 · December 10, 2014 at 2:57am",,,,,,,1,,,,,,,,,,,,,,,,,"December 10, 2014 at 2:57am",1,,
"Nigel Jhay Pacheco Jimenez Salamat DOT PAGASA  ·  · December 10, 2014 at 4:48am",,,,,,,,,,,,,,1,,,,,,,,,,"December 10, 2014 at 4:48am",,,
"Tsu Ki No thanks God po smile emoticon  ·  · December 10, 2014 at 4:14am",,,,,,,1,,,,,,,,,,,,,,,,,"December 10, 2014 at 4:14am",,,
"Encinares Villanueva Cel SALAMAT PAGASA.  ·  · December 10, 2014 at 4:35am",,,,,,,,,,,,,,1,,,,,,,,,,"December 10, 2014 at 4:35am",,,
,1,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,17,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emotion,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Religion,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Info,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks PAGASA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Family,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Safety,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,0,,,,,,,,,,,,,,,,,,,,,,,,,,
