Comments,Happy,Thankful,Hopeful ,Sad,Angry,Scared,Thanks/Praise God,Punishment from God,Angry at God,Let's Pray/Amen,Against Religion,Giving Info,Asking for Info,Thanks PAGASA,BOO Pagasa,Family/Relatives,Filipinos,Safety,Approving Science,Against Science,WOO Gov Efforts,BOO Gov Efforts,Name,Date (Dec 2014),Likes,Tagging,Against Other's Comments
"Joan Manuel Membrot Dito sa Naujan Oriental Mindoro, kalma pa. Hindi malakas ang hangin.Like · Reply · 2 · December 7, 2014 at 7:25pm",,,,,,,,,,,,1,,,,,,,,,,,,"December 7, 2014 at 7:25pm",,,
"Lito Llabres Almoguera Super lakas ng hangin at my kasamang ulan kahapon pa. D2 sorsogonLike · Reply · 1 · December 7, 2014 at 9:12pm",,,,,,,,,,,,1,,,,,,,,,,,," December 7, 2014 at 9:12pm",,,
"Joel Torrano Alipio super kalma ng panahon dto sa batangas..walang ulan, walang hangin...sana tuloy tuloy na ang ganitong ganda ng panahon..TNX GOD...Like · Reply · 1 · December 7, 2014 at 8:53pm",,,,,,,,,,,,1,,,,,,,,,,,," December 7, 2014 at 8:53pm",,,
"Ackuh Sxii Ivie Anong oras po ang landfall ng bagyo dito sa Oriental Mindoro ? Please update us po..Like · Reply · 1 · December 7, 2014 at 6:00pm",,,,,,,1,,,,,,,,,,,,,,,,,"December 7, 2014 at 6:00pm",,,
"Bhams Wubby On-araf Leuqarbaf Bukas pa ma lalandfall dyn sa mindoroLike · December 7, 2014 at 6:01pm",,,,,,,,,,,,1,,,,,,,,,,,,"December 7, 2014 at 6:01pm",,,
"Boy Lopos yung red dot, yun ang forecast position 2pm ng mondayLike · December 7, 2014 at 6:15pm · Edited",,,,,,,,,,,,1,,,,,,,,,,,," December 7, 2014 at 6:15pm",,,
"China Alonso ok parin namna sa quezon o .o kahti nasaamin ngayon ang bagyo lolLike · Reply · December 8, 2014 at 3:48pm",,,,,,,,,,,,1,,,,,,,,,,,,"December 8, 2014 at 3:48pm",,,
"Phena Garcia Bagos wag po tau mag worry, just pray and have faith to the Lord..Like · Reply · December 7, 2014 at 10:20pm",,,,,,,,,,1,,,,,,,,,,,,,,"December 7, 2014 at 10:20pm",,,
"Aileen Beluso Trust in God. He loves & takes care of us.Like · Reply · December 7, 2014 at 9:51pm",,,,,,,1,,,,,,,,,,,,,,,,,"December 7, 2014 at 9:51pm",,,
"Rose Aballe Cañada Nakakalito. Kailan ba talaga lalabas ng pinas itong si Ruby?Like · Reply · December 7, 2014 at 9:13pm · Edited",,,,,,,,,,,,,1,,,,,,,,,,," December 7, 2014 at 9:13pm ",,,
"Innot Gayas Ronquillo dito sa amin sa Capoocan, Leyte malakas padin ang hangin at ulan..Like · Reply · 
December 7, 2014 at 8:24pm",,,,,,,,,,,,1,,,,,,,,,,,,"December 7, 2014 at 8:24pm",,,
"Lino Ebuen pray nlang po tau na sana malusaw na ang bagyong ruby. para wla ng mlagay sa panganib o sigalot sa buhay. 
AMEN!!!Like · Reply · December 7, 2014 at 8:21pm",,,,,,,,,,1,,,,,,,,,,,,,,"December 7, 2014 at 8:21pm",,,
"Daisy A No Pls. Keep updating Membrot Joan....taga Naujan din ang family ko..highly appreciated!!!!!!!Like · Reply ·
 December 7, 2014 at 7:32pm",,,,,,,,,,,,,,1,,,,1,,,,,," December 7, 2014 at 7:32pm",,,
"Renante Padrique Amit Just pray...keep safe guys.Like · Reply · December 7, 2014 at 7:25pm",,,,,,,,,,1,,,,,,,,1,,,,,,"December 7, 2014 at 7:25pm",,,
"Klydi Yell Low Leche! Relief goods! squint emoticon binayo na kami wala pang makain buti nlng may cgnal pa sa c.p
 wala ng power. please kaylangan namin ng pagkain kahit ilang days lang squint emoticon ang lalakas kasi ng hangin at ulan.Like · Reply · December 7, 2014 at 7:21pm",,,,1,,,,,,,,,,,,,,,,,,,,"December 7, 2014 at 7:21pm",,,
"Jessica Casareno Mongcawe Dito sa mindoro....sa victoria oriental mindoro...malakas n po ang hangin....wala n din 
pong power......Like · Reply · December 7, 2014 at 7:13pm",,,,,,,,,,,,1,,,,,,,,,,,,"December 7, 2014 at 7:13pm",,,
"Rlm Blue Try to see the track of the typhoon f u know how and u will notice there is a legend right below. 
Thats the guide people.Like · Reply · December 7, 2014 at 6:31pm",,,,,,,,,,,,1,,,,,,,,,,,,"December 7, 2014 at 6:31pm",,,
"Carl Serrano Mina Ayun sa Pinamalayan Oriental MindoroLike · Reply · December 7, 2014 at 6:31pm",,,,,,,,,,,,1,,,,,,,,,,,,"December 7, 2014 at 6:31pm",,,
"Menchie Cometa Anung oras po ang landfall sa sibuyan island,romblonLike · Reply · December 7, 2014 at 6:28pm",,,,,,,,,,,,1,,,,,,,,,,,," December 7, 2014 at 6:28pm",,,
"Jhon Morato i think ngyn gvi kya pray nlangLike · December 7, 2014 at 7:08pm",,,,,,,,,,1,,,,,,,,,,,,,,"December 7, 2014 at 7:08pm",,,
"Yami Bongat Balayo naku matagal pala ito sa tubig dagat na naman ... sana hindi na lumakas paLike · Reply · 
December 7, 2014 at 6:18pm",,,1,,,,,,,,,,,,,,,,,,,,,"December 7, 2014 at 6:18pm",,,
"Dexter El Dorado forecast for calabarzon & ncr pls. thanksLike · Reply · December 7, 2014 at 6:16pm",,,,,,,,,,,,,1,,,,,,,,,,,"December 7, 2014 at 6:16pm",,,
"CooCoo Trinidad readLike · 1 · December 7, 2014 at 6:40pm",,,,,,,,,,,,,1,,,,,,,,,,," December 7, 2014 at 6:40pm",,,
"Jenna Czarina Ramirez bkt po hnggang ngyn malakas p rin po hangin d2 s catubig northern samar? pls response..Like · Reply 
· December 7, 2014 at 6:13pm",,,,,,,,,,,,,1,,,,,,,,,,,"December 7, 2014 at 6:13pm",,,
