Comment,Happy,Thankful,Hopeful ,Sad,Angry,Scared,Thanks/Praise God,Punishment from God,Angry at God,Let's Pray/Amen,Against Religion,Giving Info,Asking for Info,Thanks PAGASA,BOO Pagasa,Family/Relatives,Filipinos,Safety,Approving Science,Against Science,WOO Gov Efforts,BOO Gov Efforts,Name,Date (Dec 2014),Likes,Tagging,Against Other's Comments
"Russel M. Dela Cruz umm. bakit storm
December 10, 2014 at 7:50pm",,,,,,,,,,,,,1,,,,,,,,,,,"December 10, 2014 at 7:50pm",,,
,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emotion,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Religion,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Info,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks PAGASA,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Family,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Safety,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,0,,,,,,,,,,,,,,,,,,,,,,,,,,
