Comment,Happy,Thankful,Hopeful ,Sad,Angry,Scared,Thanks/Praise God,Punishment from God,Angry at God,Let's Pray/Amen,Against Religion,Giving Info,Asking for Info,Thanks PAGASA,BOO Pagasa,Family/Relatives,Filipinos,Safety,Approving Science,Against Science,WOO Gov Efforts,BOO Gov Efforts,Name,Date (Dec 2014),Likes,Tagging,Against Other's Comments
"    Logronio Rhandy that's the faith of all people!They're busy preparing material thngs 4 ds typhoon bt they dnt undrstand Gods purpose why he allow ds calamity happened again and again!  1 · December 5, 2014 at 8:52am",,,,,1,,,1,,,,,,,,,,,,,,,," December 5, 2014 at 8:52am",1,,
"    Kevin Victor Kapalac Lepiten pashare bro. 1 · December 5, 2014 at 8:55am",,,,,,,,,,,,,,,,,,,,,,,," December 5, 2014 at 8:55am",1,1,
"    Keirt Aivan Sabinay JESUS December 5, 2014 at 9:01am",,,,,,,1,,,,,,,,,,,,,,,,," December 5, 2014 at 9:01am",,,
"    Alexandria Caguioa Busa Amen! December 5, 2014 at 1:52pm · Edited",,,,,,,,,,1,,,,,,,,,,,,,,"December 5, 2014 at 1:52pm",,,
"    Rosalina Bustamante Ty sa text frm d Bible December 6, 2014 at 4:55am",,,,,,,1,,,,,,,,,,,,,,,,," December 6, 2014 at 4:55am",,,
"    Lorie Alvarado Amen December 6, 2014 at 6:05am",,,,,,,,,,1,,,,,,,,,,,,,," December 6, 2014 at 6:05am",,,
"YuMi Shizuka Hoshi ChiHaru dios ko kairo man san samar perme la ini agi an san bagyo.. an mga tawo gulpi an mga kuyap...nasan kun sino pa an tikapobrehe axa an natatama an ..intawun an mga balay na mga atop pawod la og mga tapal tapal na balay ...maage an san makusog na hangen ...See More 21 · December 5, 2014 at 8:10am",,,,,,,,,,1,,,,,,,,,,,,,," December 5, 2014 at 8:10am",21,,
"    Makoy Anthony Garde inGat pOo sa Lahat December 5, 2014 at 10:45pm",,,,,,,,,,,,,,,,,,1,,,,,,"December 5, 2014 at 10:45pm",,,
"    Art Albaño Mg ingt nlang po kta ta dri man kta pabayaan ni Mandesoy,.. December 5, 2014 at 11:16pm",,,,,,,,,,,,,,,,,,1,,,,,,"December 5, 2014 at 11:16pm",,,
"Martin Erickson if you want to pray, go infront of your altar.... not your phone 18 · December 5, 2014 at 8:16am",,,,,1,,,,,,,,,,,,,,,,,,," December 5, 2014 at 8:16am",18,,
"Ann Loreine Santos Estolero ""Whatever we ask for in prayer believe that you have received it and it shall be yours."" (Mark 11:24)...See More 26 · December 5, 2014 at 7:49am",,,,,,,,,,1,,,,,,,,,,,,,," December 5, 2014 at 7:49am",26,,
"    Alex Santos AMEN December 5, 2014 at 10:39am",,,,,,,,,,1,,,,,,,,,,,,,,"December 5, 2014 at 10:39am",,,
"    Joe GIh In the bible, there are no selective favoritism. The victims during Yolanda prayed just as hard, but many 1000's were lost. We as adults, have to be proactive and take high grounds or you'll fall victim to your own foolishness. Amen. 1 · December 5, 2014 at 3:09pm",,,,,,,,,,1,,,,,,,,1,,,,,,"December 5, 2014 at 3:09pm",1,,
